"ip","timezone","file_name","status_code","object_size","origin","user_agent","date","time"
"62.195.195.139",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3710.jpg",200,"48007","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (Linux; Android 4.1.2; GT-I9100 Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Mobile Safari/537.36","23aug2013","10:10:18 AM"
"58.247.29.150",200,"/images/min_blue.gif",200,"349","http://www.mma.ugent.be/","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","25jun2013","11:20:19 AM"
"91.181.172.171",200,"/predictive_analytics/customer_intelligence/About_Me.html",200,"3222","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/6/28_MScMA_UGent_Final_Project_Presentation_at_essent.be.html","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","29jun2013","11:42:49 AM"
"88.115.81.50",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2105.jpg",200,"90521","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Linux; U; Android 4.1.2; en-gb; GT-I9300 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","02aug2013","6:21:09 AM"
"223.255.231.85",200,"/css/reset.css",200,"832","http://www.crm.ugent.be/crosssell.htm","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0","29jun2013","8:37:59 PM"
"149.154.243.114",200,"/alumni/index.php?page=jobs",200,"2384","-","Mozilla/5.0 (Windows NT 6.1; rv:22.0) Gecko/20100101 Firefox/22.0","31jul2013","11:14:29 PM"
"65.55.219.166",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/3/1_OReillys_Strata_2012_Big_Data_Conference_in_Santa_Clara,_CA_files/DSC_7181%20%281%29.jpg",200,"58265","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2012/3/1_OReillys_Strata_2012_Big_Data_Conference_in_Santa_Clara,_CA.html","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b","26jun2013","8:31:19 PM"
"159.226.34.253",200,"/images/sprieten_s.gif",200,"2489","http://www.mma.ugent.be/","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET CLR 1.1.4322)","22aug2013","1:52:41 AM"
"157.193.219.149",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/6/27_Social_Media_Masters_Theses_of_Business_Engineering_files/DSC_0736.jpg",200,"74190","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/6/27_Social_Media_Masters_Theses_of_Business_Engineering.html","Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","28jun2013","9:39:12 AM"
"128.102.243.25",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3543.jpg",200,"27633","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36","23aug2013","11:47:08 PM"
"157.193.102.176",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2259.jpg",200,"50148","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1","02aug2013","4:40:12 PM"
"194.171.31.162",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/12/5_NIPS_2012_Conference_in_Lake_Tahoe,_NV_files/IMG_0883%20%281%29.jpg",200,"42253","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2012/12/5_NIPS_2012_Conference_in_Lake_Tahoe,_NV.html","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17","30jul2013","4:52:42 PM"
"24.68.128.4",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2323.jpg",200,"124438","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36","05aug2013","9:28:18 PM"
"79.116.251.142",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2131.jpg",200,"24287","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Linux; Android 4.1.2; GT-I9300 Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Mobile Safari/537.36","01aug2013","9:42:56 PM"
"24.114.36.225",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/9_Entry_1_files/DSC_0829.jpg",200,"22097","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/9_Entry_1.html","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B350 [FBAN/FBIOS;FBAV/6.3;FBBV/257209;FBDV/iPhone5,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.1.4;FBSS/2; FBCR/Rogers;FBID/phone;FBLC/en_US;FBOP/1]","18jul2013","5:58:07 PM"
"80.32.9.48",200,"/video.htm",200,"2649","http://www.mma.ugent.be/Graduates.htm","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:22.0) Gecko/20100101 Firefox/22.0","09jul2013","11:00:35 AM"
"137.56.51.59",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/9_Entry_1_files/DSC_0827.jpg",200,"41336","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/9_Entry_1.html","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36","22aug2013","3:29:49 PM"
"199.30.16.100",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/4/25_SAS_Global_Forum_2012_in_Orlando,_FL_files/DSC_8527%20%281%29.jpg",200,"98679","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2012/4/25_SAS_Global_Forum_2012_in_Orlando,_FL.html","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b","02jul2013","5:21:25 PM"
"62.205.89.241",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/6_Oracle_Big_Data_Forum_in_Belgium_files/shapeimage_2.png",200,"542056","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/6_Oracle_Big_Data_Forum_in_Belgium.html","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618; InfoPath.2; OfficeLiveConnector.1.3; OfficeLivePatch.0.0; .NET4.0C; BRI/2)","06jul2013","10:26:38 PM"
"91.181.158.98",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/1_MScMA_UGent_SSZ_Final_Project_Presentation_files/DSC_0859.jpg",200,"111353","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/1_MScMA_UGent_SSZ_Final_Project_Presentation.html","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","02jul2013","7:04:26 PM"
"81.249.175.182",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3406.jpg",304,"189","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25","22aug2013","10:53:55 PM"
"78.21.56.166",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/1_MScMA_UGent_SSZ_Final_Project_Presentation_files/DSC_0861.jpg",200,"124658","-","LinkedIn/6.0.1 CFNetwork/548.1.4 Darwin/11.0.0","06jul2013","9:52:08 AM"
"80.187.103.124",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3992.jpg",200,"38215","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0","22aug2013","9:16:18 PM"
"209.85.238.149",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2267.jpg",200,"64548","-","Mozilla/5.0 (compatible) Feedfetcher-Google;(+http://www.google.com/feedfetcher.html)","01aug2013","4:28:53 PM"
"66.249.72.69",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/3/7_Oracle_Big_Data_Event_files/IMG_0015.jpg",200,"76861","-","Googlebot-Image/1.0","10jul2013","9:01:55 PM"
"213.119.153.156",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2011/10/5_DMA_2011_Conference_in_Boston,_MA_files/5_DMA_2011_Conference_in_Boston,_MA.css",304,"212","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2011/10/5_DMA_2011_Conference_in_Boston,_MA.html","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25","29jun2013","1:18:29 PM"
"108.224.41.117",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3625.jpg",200,"44211","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B329","23aug2013","4:38:06 AM"
"83.134.57.242",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/6/26_SSZ_Master_of_Science_in_Marketing_Analysis_Final_Project.xml",200,"2211","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/6/26_SSZ_Master_of_Science_in_Marketing_Analysis_Final_Project.html","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:22.0) Gecko/20100101 Firefox/22.0","26jun2013","7:18:17 PM"
"130.36.95.106",200,"/crosssell.htm",200,"3665","http://www.crm.ugent.be/marketingoptimization.htm","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","13aug2013","3:20:40 PM"
"111.78.58.117",200,"/predictive_analytics/customer_intelligence/Scripts/iWebBlog.js",200,"4425","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17","03aug2013","4:23:36 AM"
"109.130.193.92",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2010/10/14_DMEF_DMA_2010_in_San_Francisco_files/shapeimage_1.jpg",200,"1146","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2010/10/14_DMEF_DMA_2010_in_San_Francisco.html","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17","22jun2013","9:57:29 PM"
"68.62.19.132",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3476.jpg",200,"42364","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (Linux; Android 4.1.1; SAMSUNG-SGH-I747 Build/JRO03L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.59 Mobile Safari/537.36","23aug2013","4:09:16 PM"
"220.181.51.203",200,"/css/screen.css",200,"6645","http://www.mma.ugent.be/","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","16aug2013","10:45:15 AM"
"5.103.45.216",200,"/alumni/images/universiteit_gent.gif",304,"188","http://www.mastat.ugent.be/alumni/","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; BTRS122327; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; OfficeLiveConnector.1.3; OfficeLivePatch.0.0; InfoPath.3)","12jul2013","6:23:56 PM"
"74.125.17.212",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html",200,"77848","-","GoogleProducer; (+http://goo.gl/7y4SX)","19aug2013","12:19:23 PM"
"64.125.189.90",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2172.jpg",200,"65506","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25","01aug2013","10:34:15 PM"
"189.134.10.144",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2346.jpg",200,"129336","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25","01aug2013","5:00:34 PM"
"92.29.44.72",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2156.jpg",200,"75816","http://plus.url.google.com/mobileapp","Mozilla/5.0 (Linux; Android 4.3; Nexus 7 Build/JWR66V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Safari/537.36","03aug2013","9:56:51 AM"
"66.249.72.161",200,"/robots.txt",404,"517","-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","28jul2013","11:44:30 PM"
"77.87.224.99",200,"/predictive_analytics/customer_intelligence/Scripts/Widgets/Navbar/navbar.js",200,"6316","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (X11; Linux x86_64; rv:22.0) Gecko/20100101 Firefox/22.0 Iceweasel/22.0","02aug2013","10:18:27 AM"
"157.56.93.227",200,"/new/facilities.htm",200,"2681","-","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)","30jun2013","2:20:28 PM"
"199.30.16.48",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2010/10/14_DMEF_DMA_2010_in_San_Francisco_files/DSC_2734_bewerkt.jpg",200,"106980","-","msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)","27jul2013","4:51:40 AM"
"212.35.118.36",200,"/images/plus.gif",200,"350","http://www.mma.ugent.be/","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; .NET CLR 1.1.4322)","10jul2013","12:16:33 PM"
"194.150.65.49",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2267.jpg",200,"64548","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.32 Safari/537.36","01aug2013","4:27:10 PM"
"87.65.103.80",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2011/10/5_DMA_2011_Conference_in_Boston,_MA_files/DSC_4188.jpg",200,"48314","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2011/10/5_DMA_2011_Conference_in_Boston,_MA.html","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36","28jun2013","1:39:59 PM"
"67.184.5.35",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2353.jpg",200,"102363","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (iPhone3,1; iPhone; U; CPU OS 6_1_3 like Mac OS X; en_US) com.google.GooglePlus/19307 (KHTML, like Gecko) Mobile/N90AP (gzip)","06aug2013","8:26:40 PM"
"54.245.152.117",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/8_VRP_2013_files/DSC_0028%20-%20Version%202.jpg",200,"23954","-","Java/1.6.0_24","17jul2013","5:52:08 PM"
"14.99.227.139",200,"/predictive_analytics/customer_intelligence/Scripts/iWebImage.js",200,"9361","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Blog.html","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36","12aug2013","10:42:02 PM"
"202.62.96.74",200,"/css/screen.css",200,"6683","http://www.mma.ugent.be/","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)","22aug2013","8:02:35 AM"
"91.123.195.136",200,"/",200,"12626","-","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0","23jul2013","6:20:13 AM"
"216.226.180.3",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/IMG_1433.jpg",200,"60756","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36","01aug2013","6:13:18 PM"
"71.227.130.120",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3582.jpg",200,"71117","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36","22aug2013","5:13:24 PM"
"89.37.197.240",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2321.jpg",200,"30694","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22","07aug2013","9:34:25 PM"
"157.193.219.159",200,"/images/facetbg.png",200,"470","http://www.mma.ugent.be/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1","05jul2013","2:23:03 PM"
"217.206.226.67",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3460.jpg",304,"189","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36","23aug2013","10:24:53 AM"
"91.181.30.14",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/6_Oracle_Big_Data_Forum_in_Belgium.html",200,"8289","-","Mozilla/5.0 (compatible; Genieo/1.0 http://www.genieo.com/webfilter.html)","12jul2013","5:00:12 AM"
